Memory Length;500;;;;;Memory Length;500;;;
Trigger Level;600mV  ;;;;;Trigger Level;600mV  ;;;
Source;CH2;;;;;Source;CH2;;;
Vertical Position;-38;;;;;Vertical Position;-38;;;
Vertical Offset;0;;;;;Vertical Offset;0;;;
Time Base;2.5ms;;;;;Time Base;2.5ms;;;
Volts;2V;;;;;Volts;2V;;;
Probe;X 1;;;;;Probe;X 1;;;
Coupling;DC;;;;;Coupling;DC;;;
Horizontal View;Main;;;;;Horizontal View;Main;;;
Waveform Last Dot Address;500;;;;;Waveform Last Dot Address;500;;;
Horizontal;15.80ms ;;;;;Horizontal;15.80ms ;;;
Time;17-Apr-26 10:37;;;;;Time;17-Apr-26 10:37;;;
Sampling Period;100.000us;;;;;Sampling Period;100.000us;;;
Sampling Mode;Equivalent Time;;;;;Sampling Mode;Equivalent Time;;;
Waveform Data;;;;;;Waveform Data;;;;
2;;;;;;2;;;3,2;0,0204
-51;;;;;;-51;;;-81,6;0,0205
-51;;;;;;-51;;;-81,6;0,0206
0;;;;;;0;;;0;0,0207
-51;;;;;;-51;;;-81,6;0,0208
-50;;;;;;-50;;;-80;0,0209
-50;;;;;;-50;;;-80;0,021
-51;;;;;;-51;;;-81,6;0,0211
-51;;;;;;-51;;;-81,6;0,0212
-51;;;;;;-51;;;-81,6;0,0213
-50;;;;;;-50;;;-80;0,0214
-51;;;;;;-51;;;-81,6;0,0215
-51;;;;;;-51;;;-81,6;0,0216
2;;;;;;2;;;3,2;0,0217
-50;;;;;;-50;;;-80;0,0218
-50;;;;;;-50;;;-80;0,0219
-51;;;;;;-51;;;-81,6;0,022
-50;;;;;;-50;;;-80;0,0221
-51;;;;;;-51;;;-81,6;0,0222
-50;;;;;;-50;;;-80;0,0223
-51;;;;;;-51;;;-81,6;0,0224
-51;;;;;;-51;;;-81,6;0,0225
-51;;;;;;-51;;;-81,6;0,0226
-50;;;;;;-50;;;-80;0,0227
-51;;;;;;-51;;;-81,6;0,0228
-52;;;;;;-52;;;-83,2;0,0229
-50;;;;;;-50;;;-80;0,023
-50;;;;;;-50;;;-80;0,0231
-51;;;;;;-51;;;-81,6;0,0232
-51;;;;;;-51;;;-81,6;0,0233
-50;;;;;;-50;;;-80;0,0234
-51;;;;;;-51;;;-81,6;0,0235
-50;;;;;;-50;;;-80;0,0236
-51;;;;;;-51;;;-81,6;0,0237
-51;;;;;;-51;;;-81,6;0,0238
-51;;;;;;-51;;;-81,6;0,0239
-51;;;;;;-51;;;-81,6;0,024
-50;;;;;;-50;;;-80;0,0241
2;;;;;;2;;;3,2;0,0242
-50;;;;;;-50;;;-80;0,0243
-51;;;;;;-51;;;-81,6;0,0244
-50;;;;;;-50;;;-80;0,0245
-51;;;;;;-51;;;-81,6;0,0246
-51;;;;;;-51;;;-81,6;0,0247
4;;;;;;4;;;6,4;0,0248
-50;;;;;;-50;;;-80;0,0249
-52;;;;;;-52;;;-83,2;0,025
-51;;;;;;-51;;;-81,6;0,0251
-51;;;;;;-51;;;-81,6;0,0252
3;;;;;;3;;;4,8;0,0253
-52;;;;;;-52;;;-83,2;0,0254
-51;;;;;;-51;;;-81,6;0,0255
2;;;;;;2;;;3,2;0,0256
-51;;;;;;-51;;;-81,6;0,0257
3;;;;;;3;;;4,8;0,0258
-51;;;;;;-51;;;-81,6;0,0259
-50;;;;;;-50;;;-80;0,026
3;;;;;;3;;;4,8;0,0261
5;;;;;;5;;;8;0,0262
2;;;;;;2;;;3,2;0,0263
-50;;;;;;-50;;;-80;0,0264
-50;;;;;;-50;;;-80;0,0265
4;;;;;;4;;;6,4;0,0266
-51;;;;;;-51;;;-81,6;0,0267
3;;;;;;3;;;4,8;0,0268
-50;;;;;;-50;;;-80;0,0269
3;;;;;;3;;;4,8;0,027
4;;;;;;4;;;6,4;0,0271
-50;;;;;;-50;;;-80;0,0272
3;;;;;;3;;;4,8;0,0273
2;;;;;;2;;;3,2;0,0274
4;;;;;;4;;;6,4;0,0275
2;;;;;;2;;;3,2;0,0276
4;;;;;;4;;;6,4;0,0277
2;;;;;;2;;;3,2;0,0278
4;;;;;;4;;;6,4;0,0279
3;;;;;;3;;;4,8;0,028
3;;;;;;3;;;4,8;0,0281
3;;;;;;3;;;4,8;0,0282
2;;;;;;2;;;3,2;0,0283
3;;;;;;3;;;4,8;0,0284
4;;;;;;4;;;6,4;0,0285
3;;;;;;3;;;4,8;0,0286
55;;;;;;55;;;88;0,0287
2;;;;;;2;;;3,2;0,0288
2;;;;;;2;;;3,2;0,0289
3;;;;;;3;;;4,8;0,029
4;;;;;;4;;;6,4;0,0291
55;;;;;;55;;;88;0,0292
2;;;;;;2;;;3,2;0,0293
55;;;;;;55;;;88;0,0294
-1;;;;;;-1;;;-1,6;0,0295
